name,symbol,lot_size
AMBUJA CEMENTS,AMBUJACEM.NS,1050
ASIAN PAINTS,ASIANPAINT.NS,250
Adani Ports,ADANIPORTS.NS,475
Aditya Birla Capital,ABCAPITAL.NS,3100
BOSCH,BOSCHLTD.NS,25
ULTRATECH CEMENT,ULTRACEMCO.NS,50
GRASIM,GRASIM.NS,250
TATA STEEL,TATASTEEL.NS,5500
ITC LTD,ITC.NS,1600
MARUTI SUZUKI,MARUTI.NS,50
RELIANCE INDUSTRIES,RELIANCE.NS,500
SBI CARDS,SBICARD.NS,800
TATA CONSULTANCY(TCS),TCS.NS,175
BAJAJ FINANCE,BAJFINANCE.NS,750
TATA CONSUMER,TATACONSUM.NS,550
HINDUSTAN UNILEVER,HINDUNILVR.NS,300
BIOCON,BIOCON.NS,2500
INDUSIND BANK,INDUSINDBK.NS,700
CANARA BANK,CANBK.NS,6750
PUNJAB NATIONAL BANK,PNB.NS,8000
Union Bank,UNIONBANK.NS,4425
IRCTC,IRCTC.NS,710
Hindustan Petroleum,HINDPETRO.NS,2025
Zomato ETERNAL,ETERNAL.NS,2425
DLF LIMITED,DLF.NS,825
HUDCO,HUDCO.NS,2775
POLYCAB INDIA,POLYCAB.NS,125
IDFC FIRST BANK,IDFCFIRSTB.NS,9275
CDSL,CDSL.NS,475
ANGEL ONE,ANGELONE.NS,250
PERSISTENT,PERSISTENT.NS,100
HDFC LIFE,HDFCLIFE.NS,1100
HDFC BANK,HDFCBANK.NS,1100
MANAPPURAM FINANCE,MANAPPURAM.NS,3000
TATA CHEMICALS LTD,TATACHEM.NS,650
JIO FIN,JIOFIN.NS,2350
