name,symbol,lot_size
ABB INDIA LIMITED,ABB.NS,125
ADANI GREEN ENERGY LTD,ADANIGREEN.NS,600
ANGEL ONE LIMITED,ANGELONE.NS,2500
AMBUJA CEMENTS LTD,AMBUJACEM.NS,1200
ADANI ENTERPRISES LIMITED,ADANIENT.NS,309
ADANI PORT & SEZ LTD,ADANIPORTS.NS,475
AXIS BANK LIMITED,AXISBANK.NS,625
BANDHAN BANK LIMITED,BANDHANBNK.NS,3600
ASIAN PAINTS LIMITED,ASIANPAINT.NS,250
BSE LIMITED,BSE.NS,200
APL APOLLO TUBES LTD,APLAPOLLO.NS,350
AUROBINDO PHARMA LTD,AUROPHARMA.NS,550
CANARA BANK,CANBK.NS,6750
CENTRAL DEPO SER (I) LTD,CDSL.NS,475
CG POWER AND IND SOL LTD,CGPOWER.NS,850
APOLLO HOSPITALS ENTER. L,APOLLOHOSP.NS,125
BANK OF INDIA,BANKINDIA.NS,5200
BHARAT DYNAMICS LIMITED,BDL.NS,425
BHARAT ELECTRONICS LTD,BEL.NS,1425
DALMIA BHARAT LIMITED,DALBHARAT.NS,325
ADITYA BIRLA CAPITAL LTD.,ABCAPITAL.NS,3100
BHARTI AIRTEL LIMITED,BHARTIARTL.NS,475
BHEL,BHEL.NS,2625
BLUE STAR LIMITED,BLUESTARCO.NS,325
BOSCH LIMITED,BOSCHLTD.NS,25
DLF LIMITED,DLF.NS,950
BHARAT PETROLEUM CORP  LT,BPCL.NS,1975
AVENUE SUPERMARTS LIMITED,DMART.NS,150
BRITANNIA INDUSTRIES LTD,BRITANNIA.NS,125
HDFC BANK LTD,HDFCBANK.NS,650
HINDUSTAN PETROLEUM CORP,HINDPETRO.NS,2025
ICICI LOMBARD GIC LIMITED,ICICIGI.NS,325
CHOLAMANDALAM IN & FIN CO,CHOLAFIN.NS,625
360 ONE WAM LIMITED,360ONE.NS,500
COAL INDIA LTD,COALINDIA.NS,1350
COFORGE LIMITED,COFORGE.NS,475
INTERGLOBE AVIATION LTD,INDIGO.NS,150
COLGATE PALMOLIVE LTD.,COLPAL.NS,275
CONTAINER CORP OF IND LTD,CONCOR.NS,1250
HDFC AMC LIMITED,HDFCAMC.NS,300
HERO MOTOCORP LIMITED,HEROMOTOCO.NS,150
DELHIVERY LIMITED,DELHIVERY.NS,2075
INDIAN OIL CORP LTD,IOC.NS,4875
DIVI S LABORATORIES LTD,DIVISLAB.NS,100
EICHER MOTORS LTD,EICHERMOT.NS,100
ASHOK LEYLAND LTD,ASHOKLEY.NS,5000
JSW ENERGY LIMITED,JSWENERGY.NS,1075
FEDERAL BANK LTD,FEDERALBNK.NS,2500
KFIN TECHNOLOGIES LIMITED,KFINTECH.NS,575
ICICI BANK LTD.,ICICIBANK.NS,700
THE INDIAN HOTELS CO. LTD,INDHOTEL.NS,1000
GAIL (INDIA) LTD,GAIL.NS,3550
GLENMARK PHARMACEUTICALS,GLENMARK.NS,375
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,6975
INDUSIND BANK LIMITED,INDUSINDBK.NS,700
INDUS TOWERS LIMITED,INDUSTOWER.NS,1700
LIFE INSURA CORP OF INDIA,LICI.NS,1400
HINDUSTAN AERONAUTICS LTD,HAL.NS,150
AMBER ENTERPRISES (I) LTD,AMBER.NS,100
JINDAL STEEL LIMITED,JINDALSTEL.NS,625
JIO FIN SERVICES LTD,JIOFIN.NS,2350
