symbol,company_name,date,action,quantity,rate,value
ADANIPORTS,ADANI PORT & SEZ LTD,2023-01-30,BUY,200,611.8532,122370.64
ADANIPORTS,ADANI PORT & SEZ LTD,2023-02-06,BUY,100,528.3702,52837.02
ADANIPORTS,ADANI PORT & SEZ LTD,2023-02-07,BUY,200,568.023,113604.6
ADANIPOWER,ADANI POWER LTD,2023-08-23,BUY,1750,68.628,120099.0
ADANIPOWER,ADANI POWER LTD,2023-09-12,BUY,750,79.376,59532.0
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2024-02-02,BUY,900,180.468,162421.2
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,2026-02-04,BUY,199,376.1035,74844.59
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,2026-02-05,BUY,221,372.9672,82425.75
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,2026-05-15,BUY,585,490.6724,287043.35
ASIANPAINT,ASIAN PAINTS LIMITED,2020-04-30,BUY,100,1798.1794,179817.94
BENARAS,BENARES HOTELS LTD.,2026-06-02,BUY,30,10280.4599,308413.8
BHARTIARTL,BHARTI AIRTEL LIMITED,2023-03-22,BUY,235,760.8864,178808.29
COCHINSHIP,COCHIN SHIPYARD LIMITED,2023-03-24,BUY,240,222.9113,53498.72
COCHINSHIP,COCHIN SHIPYARD LIMITED,2023-06-23,BUY,140,289.751,40565.14
CAMS,COMPUTER AGE MNGT SER LTD,2023-11-12,BUY,5,498.272,2491.36
CSBBANK,CSB BANK LIMITED,2026-05-15,BUY,501,353.831,177269.33
CSBBANK,CSB BANK LIMITED,2026-06-04,BUY,500,364.5453,182272.65
ETERNAL,ETERNAL LIMITED,2023-09-01,BUY,650,97.5028,63376.82
ETERNAL,ETERNAL LIMITED,2023-09-12,BUY,75,100.8615,7564.61
ETERNAL,ETERNAL LIMITED,2024-02-02,BUY,275,144.224,39661.6
ETERNAL,ETERNAL LIMITED,2024-10-30,BUY,200,249.2463,49849.26
ETERNAL,ETERNAL LIMITED,2024-11-07,BUY,600,260.5757,156345.42
HDBFS,HDB FINANCIAL SERVICES L,2025-07-01,BUY,180,740.0,133200.0
IRCTC,INDIAN RAIL TOUR CORP LTD,2021-02-05,BUY,250,306.796,76699.0
IRCTC,INDIAN RAIL TOUR CORP LTD,2021-05-21,BUY,250,374.972,93743.0
IRCTC,INDIAN RAIL TOUR CORP LTD,2021-06-21,BUY,190,416.1787,79073.96
IRCTC,INDIAN RAIL TOUR CORP LTD,2022-01-06,BUY,15,836.6195,12549.29
JAMNAAUTO,JAMNA AUTO IND LTD,2024-01-30,BUY,1470,117.4767,172690.73
JAMNAAUTO,JAMNA AUTO IND LTD,2026-05-15,BUY,534,118.5574,63309.65
LGEINDIA,LG ELECTRONICS INDIA LTD,2026-06-04,BUY,200,1530.9702,306194.04
NH,NARAYANA HRUDAYALAYA LTD.,2026-06-02,BUY,200,1895.9697,379193.94
NIFTYBEES,NIP IND ETF NIFTY BEES,2021-12-07,BUY,20,186.7342,3734.68
NIFTYBEES,NIP IND ETF NIFTY BEES,2021-12-23,BUY,21,185.1902,3888.99
NIFTYBEES,NIP IND ETF NIFTY BEES,2022-01-06,BUY,25,191.9979,4799.95
NIFTYBEES,NIP IND ETF NIFTY BEES,2023-03-22,BUY,250,188.2602,47065.05
PSUBNKBEES,NIP IND ETF PSU BANK BEES,2023-08-23,BUY,2000,51.7431,103486.18
PSUBNKBEES,NIP IND ETF PSU BANK BEES,2024-02-16,BUY,790,80.5188,63609.85
RELIANCE,RELIANCE INDUSTRIES LTD,2019-12-20,BUY,110,1617.1369,177885.06
RELIANCE,RELIANCE INDUSTRIES LTD,2023-03-03,BUY,11,2283.16,25114.76
RELIANCE,RELIANCE INDUSTRIES LTD,2023-03-15,BUY,5,2176.46,10882.3
RELIANCE,RELIANCE INDUSTRIES LTD,2024-11-01,BUY,126,0.0,0.0
RELIANCE,RELIANCE INDUSTRIES LTD,2025-03-05,BUY,40,1181.915,47276.6
SAMHI,SAMHI HOTELS LIMITED,2026-05-27,BUY,600,165.6767,99405.99
SUPRIYA,SUPRIYA LIFESCIENCE LTD,2025-07-09,BUY,235,715.8564,168226.25
TATATECH,TATA TECHNOLOGIES LIMITED,2024-09-09,BUY,100,1085.7415,108574.15
VOLTAS,VOLTAS LTD,2024-01-19,BUY,100,1049.7457,104974.57
YESBANK,YES BANK LIMITED,2019-02-28,BUY,200,232.21,46442.0
YESBANK,YES BANK LIMITED,2022-06-02,BUY,5000,13.4348,67174.0
YESBANK,YES BANK LIMITED,2024-01-25,BUY,1000,24.9647,24964.7
YESBANK,YES BANK LIMITED,2024-04-26,BUY,2800,26.1979,73354.12
