symbol,company_name,date,action,quantity,rate,value
AARTIDRUGS,AARTI DRUGS LTD.,2026-02-01,BUY,200,385.1475,77029.5
AARTIDRUGS,AARTI DRUGS LTD.,2026-05-15,BUY,301,366.095,110194.6
ATGL,ADANI TOTAL GAS LIMITED,2024-06-05,BUY,200,920.754,184150.8
BAJFINANCE,BAJAJ FINANCE LIMITED,2022-04-18,BUY,118,3677.499,433944.88
BAJFINANCE,BAJAJ FINANCE LIMITED,2025-06-18,BUY,472,0.0,0.0
CDSL,CENTRAL DEPO SER (I) LTD,2023-07-17,BUY,130,1231.5837,160105.88
CDSL,CENTRAL DEPO SER (I) LTD,2024-07-04,BUY,40,2330.7212,93228.85
CDSL,CENTRAL DEPO SER (I) LTD,2024-08-28,BUY,170,0.0,0.0
CMSINFO,CMS INFO SYSTEMS LIMITED,2025-03-06,BUY,306,451.8887,138277.93
CMSINFO,CMS INFO SYSTEMS LIMITED,2026-05-15,BUY,195,306.1156,59692.54
FIVESTAR,FIVE-STAR BUS FIN LTD,2024-09-17,BUY,91,768.298,69915.12
FIVESTAR,FIVE-STAR BUS FIN LTD,2024-10-31,BUY,150,719.3516,107902.74
GPPL,GUJARAT PIPAVAV PORT LTD,2023-03-29,BUY,500,113.8355,56917.74
HDFCBANK,HDFC BANK LTD,2022-04-22,BUY,50,1358.5133,67925.67
HDFCBANK,HDFC BANK LTD,2022-05-20,BUY,50,1322.305,66115.25
HDFCBANK,HDFC BANK LTD,2023-05-25,BUY,15,1614.83,24222.45
HDFCBANK,HDFC BANK LTD,2025-08-27,BUY,115,0.0,0.0
ICICIPRULI,ICICI PRU LIFE INS CO LTD,2026-05-15,BUY,501,544.3281,272708.38
ICICIPRULI,ICICI PRU LIFE INS CO LTD,2026-06-02,BUY,189,486.0036,91854.68
IDFCFIRSTB,IDFC FIRST BANK LIMITED,2022-04-18,BUY,2500,41.123,102807.5
IDFCFIRSTB,IDFC FIRST BANK LIMITED,2023-08-23,BUY,750,92.627,69470.25
IDFCFIRSTB,IDFC FIRST BANK LIMITED,2023-09-01,BUY,1200,92.6981,111237.68
IDFCFIRSTB,IDFC FIRST BANK LIMITED,2024-05-21,BUY,1300,77.6823,100986.99
IDFCFIRSTB,IDFC FIRST BANK LIMITED,2024-05-31,BUY,250,76.7295,19182.38
IRCTC,INDIAN RAIL TOUR CORP LTD,2022-05-31,BUY,100,708.118,70811.8
JIOFIN,JIO FIN SERVICES LTD,2024-02-05,BUY,303,258.3728,78286.96
JIOFIN,JIO FIN SERVICES LTD,2024-05-21,BUY,150,359.074,53861.1
JIOFIN,JIO FIN SERVICES LTD,2025-06-27,BUY,223,315.1426,70276.8
LT,LARSEN & TOUBRO LTD.,2026-05-15,BUY,100,3951.5361,395153.61
MAZDOCK,MAZAGON DOCK SHIPBUIL LTD,2024-06-04,BUY,200,1358.563,271712.6
MISHTANN,Mishtann Foods Limited,2024-12-05,BUY,9000,15.6735,141061.73
GOLDBEES,NIP IND ETF GOLD BEES,2026-02-01,BUY,750,122.2356,91676.7
GOLDBEES,NIP IND ETF GOLD BEES,2026-05-15,BUY,750,131.0519,98288.93
NIFTYBEES,NIP IND ETF NIFTY BEES,2022-05-17,BUY,400,175.1774,70070.94
NIFTYBEES,NIP IND ETF NIFTY BEES,2022-06-10,BUY,250,177.0343,44258.58
PHARMABEES,NIPPONAMC - NETFPHARMA,2023-04-13,BUY,5000,12.728,63640.0
PHARMABEES,NIPPONAMC - NETFPHARMA,2024-02-23,BUY,2500,19.418,48545.0
SILVERBEES,NIPPONAMC - NETFSILVER,2026-02-01,BUY,350,253.2575,88640.13
SILVERBEES,NIPPONAMC - NETFSILVER,2026-05-15,BUY,350,259.8962,90963.67
PREMEXPLN,PREMIER EXPLOSIVES LTD,2024-06-18,BUY,500,776.088,388044.0
RVNL,RAIL VIKAS NIGAM LIMITED,2022-04-21,BUY,500,37.1611,18580.55
RAILTEL,RAILTEL CORP OF IND LTD,2022-04-18,BUY,250,112.7372,28184.3
RECLTD,REC LIMITED,2023-01-02,BUY,200,120.6609,24132.18
SAGILITY,SAGILITY LIMITED,2025-08-04,BUY,1000,45.6951,45695.1
SAGILITY,SAGILITY LIMITED,2026-02-01,BUY,1000,49.5682,49568.2
SAGILITY,SAGILITY LIMITED,2026-06-02,BUY,200,40.461,8092.2
SETFNIFBK,SBI-ETF NIFTY BANK,2022-05-17,BUY,100,341.7382,34173.82
UJJIVANSFB,UJJIVAN SMALL FINANC BANK,2025-03-20,BUY,200,36.0979,7219.58
UJJIVANSFB,UJJIVAN SMALL FINANC BANK,2025-04-17,BUY,2394,42.0658,100705.53
UJJIVANSFB,UJJIVAN SMALL FINANC BANK,2025-06-27,BUY,34,48.7458,1657.36
UJJIVANSFB,UJJIVAN SMALL FINANC BANK,2026-05-15,BUY,2476,56.4588,139791.99
