symbol,sector
GOLDBEES,ETF
NIFTYBEES,ETF
AARTIDRUGS,Healthcare
ATGL,Gas Transmission
BAJFINANCE,Finance
CDSL,Business Services
CMSINFO,Business Services
FIVESTAR,Finance
GPPL,Logistics
HDFCBANK,Bank
ICICIPRULI,Insurance
IDFCFIRSTB,Bank
IRCTC,Hospitality
JIOFIN,Finance
LT,Infrastructure
MAZDOCK,Ship Building
MISHTANN,Trading
PHARMABEES,ETF
SILVERBEES,ETF
PREMEXPLN,Chemicals
RVNL,Infrastructure
RAILTEL,Telecom
RECLTD,Finance
SAGILITY,Business Services
SETFNIFBK,ETF
UJJIVANSFB,Bank
YESBANK,Bank
PSUBNKBEES,ETF
ADANIPORTS,Logistics
ADANIPOWER,Power
ABCAPITAL,Finance
APCOTEXIND,Agri
ASIANPAINT,Chemicals
BENARAS,Hospitality
BHARTIARTL,Telecom
COCHINSHIP,Ship Building
CAMS,Business Services
CSBBANK,Bank
ETERNAL,Retailing
HDBFS,Finance
JAMNAAUTO,Automobile & Ancillaries
LGEINDIA,Consumer Durables
NH,Healthcare
RELIANCE,Crude Oil
SAMHI,Hospitality
SUPRIYA,Healthcare
TATATECH,IT
VOLTAS,Consumer Durables
