symbol,company_name,isin,exchange,market_cap_cr,category
RELIANCE,Reliance Industries Ltd,INE002A01018,NSE,1970797.09,Large Cap
HDFCBANK,HDFC Bank Ltd.,INE040A01034,NSE,1516170.94,Large Cap
BHARTIARTL,Bharti Airtel  Ltd.,INE397D01024,NSE,1195645.18,Large Cap
TCS,Tata Consultancy Services Ltd.,INE467B01029,NSE,1129568.57,Large Cap
ICICIBANK,ICICI Bank Ltd.,INE090A01021,NSE,998876.86,Large Cap
SBIN,State Bank Of India,INE062A01020,NSE,805248.09,Large Cap
INFY,Infosys Ltd,INE009A01021,NSE,635171.35,Large Cap
BAJFINANCE,Bajaj Finance Limited,INE296A01032,NSE,608063.5,Large Cap
LICI,Life Insurance Corporation of India,INE0J1Y01017,NSE,565235.05,Large Cap
HINDUNILVR,Hindustan Unilever Ltd.,INE030A01027,NSE,538840.25,Large Cap
LT,Larsen & Toubro Limited,INE018A01030,NSE,518734.19,Large Cap
ITC,ITC Ltd,INE154A01025,NSE,511718.19,Large Cap
MARUTI,Maruti Suzuki India  Ltd.,INE585B01010,NSE,470447.56,Large Cap
M&M,Mahindra & Mahindra Ltd.,INE101A01026,NSE,431870.68,Large Cap
HCLTECH,HCL Technologies Ltd,INE860A01027,NSE,418780.71,Large Cap
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,INE044A01036,NSE,404413.97,Large Cap
AXISBANK,AXIS Bank Ltd.,INE238A01034,NSE,363081.7,Large Cap
ULTRACEMCO,UltraTech Cement Ltd,INE481G01011,NSE,358032.16,Large Cap
BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,NSE,324497.45,Large Cap
TITAN,Titan Company Limited,INE280A01028,NSE,323588.6,Large Cap
NTPC,NTPC Limited,INE733E01010,NSE,323242.02,Large Cap
HAL,Hindustan Aeronautics Limited,INE066F01020,NSE,309439.43,Large Cap
ADANIPORTS,Adani Ports and Special Economic Zone Ltd,INE742F01042,NSE,308643.65,Large Cap
ONGC,Oil And Natural Gas Corporation Ltd,INE213A01029,NSE,303873.25,Large Cap
ETERNAL,Eternal Limited,INE758T01015,NSE,297128.74,Large Cap
BEL,Bharat Electronics Ltd.,INE263A01024,NSE,293006.39,Large Cap
ADANIENT,Adani Enterprises Ltd.,INE423A01024,NSE,281699.26,Large Cap
DMART,Avenue Supermarts Limited,INE192R01011,NSE,275703.92,Large Cap
JSWSTEEL,JSW Steel Limited,INE019A01038,NSE,270423.44,Large Cap
ADANIPOWER,Adani Power Limited,INE814H01029,NSE,264353.91,Large Cap
WIPRO,Wipro  Ltd.,INE075A01022,NSE,263357.63,Large Cap
POWERGRID,POWER GRID CORPORATION OF INDIA LIMITED,INE752E01010,NSE,262660.86,Large Cap
ASIANPAINT,Asian Paints Ltd.,INE021A01026,NSE,246424.67,Large Cap
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,NSE,245127.69,Large Cap
COALINDIA,Coal India Limited,INE522F01014,NSE,237341.1,Large Cap
NESTLEIND,Nestle India Ltd.,INE239A01024,NSE,233650.75,Large Cap
INDIGO,InterGlobe Aviation Limited,INE646L01027,NSE,219770.89,Large Cap
IOC,Indian Oil Corporation Ltd.,INE242A01010,NSE,216869.55,Large Cap
TATASTEEL,TATA STEEL LIMITED,INE081A01020,NSE,209348.34,Large Cap
HINDZINC,Hindustan Zinc Ltd.,INE267A01025,NSE,200302.09,Large Cap
JIOFIN,Jio Financial Services Limited,INE758E01017,NSE,197599.97,Large Cap
HYUNDAI,HYUNDAI MOTOR INDIA LIMITED,INE0V6F01027,NSE,190812.83,Large Cap
GRASIM,Grasim Industries Ltd,INE047A01021,NSE,190065.86,Large Cap
SBILIFE,SBI Life Insurance Company Limited,INE123W01016,NSE,189233.82,Large Cap
VEDL,Vedanta Limited,INE205A01025,NSE,188341.36,Large Cap
DLF,DLF LIMITED,INE271C01023,NSE,187706.7,Large Cap
EICHERMOT,Eicher Motors Ltd.,INE066A01021,NSE,179572.47,Large Cap
TRENT,Trent Ltd [Lakme Ltd],INE849A01020,NSE,173123.06,Large Cap
HINDALCO,Hindalco Industries Ltd.,INE038A01020,NSE,170778.11,Large Cap
DIVISLAB,Divi's Laboratories Ltd.,INE361B01024,NSE,169470.56,Large Cap
HDFCLIFE,HDFC LIFE INSURANCE COMPANY LIMITED,INE795G01014,NSE,164648.24,Large Cap
LTM,LTIMindtree Limited,INE214T01019,NSE,163641.7,Large Cap
IRFC,Indian Railway Finance Corporation,INE053F01010,NSE,163100.04,Large Cap
ADANIGREEN,Adani Green Energy Limited,INE364U01010,NSE,163019.85,Large Cap
VBL,Varun Beverages Limited,INE200M01039,NSE,160503.06,Large Cap
TVSMOTOR,TVS Motor Company Ltd.,INE494B01023,NSE,158854.62,Large Cap
PIDILITIND,Pidilite Industries Ltd.,INE318A01026,NSE,152299.32,Large Cap
BPCL,Bharat Petroleum Corpn. Ltd.,INE029A01011,NSE,148436.95,Large Cap
TECHM,Tech Mahindra Limited,INE669C01036,NSE,147715.49,Large Cap
BAJAJHLDNG,Bajaj Holdings & Investment Limited,INE118A01012,NSE,141527.23,Large Cap
BRITANNIA,Britannia Industries Ltd.,INE216A01030,NSE,141273.65,Large Cap
AMBUJACEM,Ambuja Cements Ltd.,INE079A01024,NSE,140874.62,Large Cap
TATACAP,Tata Capital Limited,INE976I01016,NSE,138785.22,Large Cap
TMPV,TATA MOTORS PASSENGER VEHICLES LIMITED,INE155A01022,NSE,138379.66,Large Cap
BANKBARODA,Bank Of Baroda,INE028A01039,NSE,135277.31,Large Cap
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd,INE121A01024,NSE,134940.99,Large Cap
SHRIRAMFIN,Shriram Finance Limited,INE721A01047,NSE,134236.38,Large Cap
TMCV,Tata Motors Limited,INE1TAE01010,NSE,133962.43,Large Cap
PNB,Punjab National Bank,INE160A01022,NSE,130934.04,Large Cap
ICICIAMC,ICICI Prudential Asset Management Company Limited,INE346A01027,NSE,129966.98,Large Cap
PFC,Power Finance Corporation Ltd,INE134E01011,NSE,129274.35,Large Cap
SOLARINDS,Solar Industries India Limited,INE343H01029,NSE,127239.01,Large Cap
MUTHOOTFIN,MUTHOOT FINANCE LIMITED,INE414G01012,NSE,125437.65,Large Cap
TATAPOWER,Tata Power Co. Ltd,INE245A01021,NSE,124853.77,Large Cap
CIPLA,Cipla Ltd.,INE059A01026,NSE,123550.23,Large Cap
TORNTPHARM,Torrent Pharmaceuticals Ltd.,INE685A01028,NSE,122678.09,Large Cap
GODREJCP,Godrej Consumer Products Ltd.,INE102D01028,NSE,121708.41,Large Cap
LODHA,Lodha Developers Limited,INE670K01029,NSE,120411.35,Large Cap
HDFCAMC,HDFC Asset Management Company Limited,INE127D01025,NSE,117490.21,Large Cap
GAIL,Gail (India) Ltd.,INE129A01019,NSE,117135.4,Large Cap
CANBK,Canara Bank,INE476A01022,NSE,114305.32,Large Cap
MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,NSE,113892.74,Large Cap
ENRIN,Siemens Energy India Limited,INE1NPP01017,NSE,112969.27,Large Cap
SIEMENS,Siemens Ltd.,INE003A01024,NSE,112489.01,Large Cap
MAZDOCK,Mazagon Dock Shipbuilders Limited,INE249Z01020,NSE,112305.88,Large Cap
BOSCHLTD,Bosch Ltd,INE323A01026,NSE,112072.51,Large Cap
ABB,ABB India Limited,INE117A01022,NSE,111554.91,Large Cap
MOTHERSON,Samvardhana Motherson International Limited,INE775A01035,NSE,111482.08,Large Cap
CUMMINSIND,Cummins India Ltd.,INE298A01020,NSE,111421.69,Large Cap
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,NSE,111191.8,Large Cap
CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,NSE,110189.37,Large Cap
LGEINDIA,LG Electronics India Limited,INE324D01010,NSE,109777.1,Large Cap
POLYCAB,Polycab India Limited,INE455K01017,NSE,109474.09,Large Cap
UNIONBANK,Union Bank of India,INE692A01016,NSE,108940.67,Large Cap
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,NSE,108353.76,Large Cap
APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,INE437A01024,NSE,107950.58,Large Cap
INDHOTEL,Indian Hotels Co. Ltd,INE053A01029,NSE,105953.21,Large Cap
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,NSE,105541.44,Large Cap
DRREDDY,Dr. Reddy's Laboratories Ltd.,INE089A01031,NSE,105173.87,Large Cap
SHREECEM,Shree Cements Ltd.,INE070A01015,NSE,104515.81,Mid Cap
JINDALSTEL,JINDAL STEEL LIMITED,INE749A01030,NSE,103402.77,Mid Cap
IDBI,IDBI Bank Ltd,INE008A01015,NSE,102939.27,Mid Cap
SWIGGY,SWIGGY LIMITED,INE00H001014,NSE,102601.46,Mid Cap
BSE,BSE Ltd.,INE118H01025,NSE,101299.27,Mid Cap
MANKIND,Mankind Pharma Limited,INE634S01028,NSE,99918.28,Mid Cap
INDIANB,Indian Bank,INE562A01011,NSE,99684.37,Mid Cap
INDUSTOWER,INDUS TOWERS LIMITED,INE121J01017,NSE,99637.65,Mid Cap
UNITDSPR,United Spirits Limited,INE854D01024,NSE,99545.63,Mid Cap
GMRAIRPORT,GMR Airports Limited,INE776C01039,NSE,98990.78,Mid Cap
RECLTD,REC LIMITED,INE020B01018,NSE,98214.71,Mid Cap
ZYDUSLIFE,Zydus Lifesciences Limited,INE010B01027,NSE,97836.91,Mid Cap
ICICIGI,ICICI Lombard General Insurance Company Limited,INE765G01017,NSE,96742.59,Mid Cap
GROWW,Billionbrains Garage Ventures Limited,INE0HOQ01053,NSE,95896.15,Mid Cap
DIXON,Dixon Technologies (India) Limited,INE935N01020,NSE,95851.34,Mid Cap
IDEA,VODAFONE IDEA LIMITED,INE669E01016,NSE,94020.26,Mid Cap
HAVELLS,Havells India Limited,INE176B01034,NSE,93919.39,Mid Cap
MARICO,Marico Limited,INE196A01026,NSE,93848.91,Mid Cap
HINDPETRO,Hindustan Petroleum Corporation Ltd,INE094A01015,NSE,93193.14,Mid Cap
WAAREEENER,Waaree Energies Limited,INE377N01017,NSE,92806.37,Mid Cap
BAJAJHFL,Bajaj Housing Finance Limited,INE377Y01014,NSE,91539.66,Mid Cap
DABUR,Dabur India Ltd.,INE016A01026,NSE,90964.26,Mid Cap
LUPIN,Lupin Ltd,INE326A01037,NSE,90702.01,Mid Cap
JSWENERGY,JSW Energy Limited,INE121E01018,NSE,90094.17,Mid Cap
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,INE726G01019,NSE,89696.46,Mid Cap
PERSISTENT,Persistent Systems Limited,INE262H01021,NSE,89150.43,Mid Cap
BHARTIHEXA,Bharti Hexacom Limited,INE343G01021,NSE,88890.15,Mid Cap
NAUKRI,Info Edge(India) Ltd.,INE663F01032,NSE,88708.5,Mid Cap
SRF,SRF Ltd.,INE647A01010,NSE,88547.59,Mid Cap
BHEL,Bharat Heavy Electricals Ltd.,INE257A01026,NSE,87275.32,Mid Cap
POWERINDIA,HITACHI ENERGY INDIA LIMITED,INE07Y701011,NSE,86855.84,Mid Cap
MEESHO,Meesho Limited,INE0VDM01015,NSE,86440.15,Mid Cap
NTPCGREEN,NTPC GREEN ENERGY LIMITED,INE0ONG01011,NSE,84832.01,Mid Cap
NHPC,NHPC Limited,INE848E01016,NSE,83004.47,Mid Cap
POLICYBZR,PB Fintech Limited,INE417T01026,NSE,82982.45,Mid Cap
SBICARD,SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,NSE,82606.82,Mid Cap
ASHOKLEY,Ashok Leyland Ltd.,INE208A01029,NSE,82086.06,Mid Cap
SUZLON,SUZLON ENERGY LTD.,INE040H01021,NSE,79509.3,Mid Cap
ABCAPITAL,Aditya Birla Capital Ltd,INE674K01013,NSE,79348.09,Mid Cap
PAYTM,One 97 Communications Limited,INE982J01020,NSE,76885.62,Mid Cap
IOB,Indian Overseas Bank,INE565A01014,NSE,74116.7,Mid Cap
OFSS,Oracle Financial Services Software Limited,INE881D01027,NSE,74072.43,Mid Cap
LENSKART,Lenskart Solutions Limited,INE956O01016,NSE,73300.14,Mid Cap
GVT&D,GE Vernova T&D India Limited,INE200A01026,NSE,72682.09,Mid Cap
RVNL,Rail Vikas Nigam Limited,INE415G01027,NSE,70912.53,Mid Cap
PRESTIGE,Prestige Estates Projects Limited,INE811K01011,NSE,70855.47,Mid Cap
LLOYDSME,Lloyds Metals and Energy Limited,INE281B01032,NSE,70809.09,Mid Cap
UNOMINDA,UNO Minda Limited,INE405E01023,NSE,70444.82,Mid Cap
FORTIS,Fortis Healthcare Ltd,INE061F01013,NSE,69999.55,Mid Cap
NYKAA,FSN E-Commerce Ventures Limited,INE388Y01029,NSE,68621.26,Mid Cap
OIL,Oil India Limited,INE274J01014,NSE,68181.91,Mid Cap
ATGL,ADANI TOTAL GAS LIMITED,INE399L01023,NSE,67975.07,Mid Cap
COROMANDEL,Coromandel International Limited,INE169A01031,NSE,67903.85,Mid Cap
GICRE,General Insurance Corporation of India,INE481Y01014,NSE,66432.27,Mid Cap
